Sample Number,Year,Area,Vessel,Pot,Sex,Legal,Carapace length,Carapace width,Coxa walking leg 1 RIGHT,Coxa walking leg 2 RIGHT,Coxa walking leg 3 RIGHT,Coxa walking leg 1 LEFT,Coxa walking leg 2 LEFT,Coxa walking leg 3 LEFT,Comments,QC,Data Recorder,Samplers,CW Size Bin
24,2025,Juneau,Medeia,4,M,Sublegal,103,120,20,20,20,20,20,20,,AGR,SYW,"AGR, SM, TJ",120-129
88,2025,Juneau,Medeia,6,M,Sublegal,104,120,20,20,20,21,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
117,2025,Juneau,Medeia,7,M,Sublegal,101,120,19,19,20,20,21,19,L3 regenerated,AGR,SYW,"AGR, SM, TJ",120-129
131,2017,Excursion,Medeia,,M,Sublegal,99,121,22,23,21,22,23,21,,,,,120-129
13,2017,Peril Strait,Medeia,,M,Sublegal,101,121,22,24,22,22,23,22,,,,,120-129
13,2025,Juneau,Medeia,3,M,Sublegal,106,121,20,20,21,19,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
16,2025,Juneau,Medeia,3,M,Sublegal,104,121,20,21,21,20,22,21,,AGR,SYW,"AGR, SM, TJ",120-129
90,2025,Juneau,Medeia,6,M,Sublegal,101,121,20,19,20,19,20,21,,AGR,SYW,"AGR, SM, TJ",120-129
173,2017,Excursion,Medeia,,M,Sublegal,103,122,22,23,22,22,23,23,,,,,120-129
12,2025,Juneau,Medeia,3,M,Sublegal,113,122,19,20,21,20,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
53,2025,Juneau,Medeia,5,M,Sublegal,100,122,17,19,18,17,17,19,,AGR,SYW,"AGR, SM, TJ",120-129
73,2025,Juneau,Medeia,6,M,Sublegal,104,122,20,20,20,20,20,20,,AGR,SYW,"AGR, SM, TJ",120-129
118,2025,Juneau,Medeia,7,M,Sublegal,104,122,20,20,21,20,21,22,,AGR,SYW,"AGR, SM, TJ",120-129
123,2025,Juneau,Medeia,7,M,Sublegal,104,122,20,20,22,20,21,22,,AGR,SYW,"AGR, SM, TJ",120-129
44,2025,Juneau,Medeia,5,M,Sublegal,104,123,20,19,20,18,20,20,,AGR,SYW,"AGR, SM, TJ",120-129
60,2025,Juneau,Medeia,6,M,Sublegal,105,123,20,21,21,20,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
101,2025,Juneau,Medeia,7,M,Sublegal,103,123,20,21,21,21,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
133,2017,Excursion,Medeia,,M,Sublegal,103,124,21,22,21,22,23,22,,,,,120-129
22,2025,Juneau,Medeia,3,M,Sublegal,105,124,20,20,21,21,21,20,,AGR,SYW,"AGR, SM, TJ",120-129
32,2025,Juneau,Medeia,5,M,Sublegal,103,124,21,20,20,20,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
41,2025,Juneau,Medeia,5,M,Sublegal,108,124,20,22,22,21,22,22,,AGR,SYW,"AGR, SM, TJ",120-129
46,2025,Juneau,Medeia,5,M,Sublegal,103,124,21,19,20,19,20,21,,AGR,SYW,"AGR, SM, TJ",120-129
86,2025,Juneau,Medeia,6,M,Sublegal,106,124,20,21,21,20,21,21,,AGR,SYW,"AGR, SM, TJ",120-129
158,2017,Excursion,Medeia,,M,Sublegal,101,125,22,23,22,22,23,22,,,,,120-129
187,2017,St James Bay,Medeia,,M,Sublegal,106,125,23,24,24,24,25,23,,,,,120-129
184,2017,St James Bay,Medeia,,M,Sublegal,107,125,24,25,24,25,26,24,,,,,120-129
7,2025,Juneau,Medeia,3,M,Sublegal,106,125,22,21,21,21,22,21,,AGR,SYW,"AGR, SM, TJ",120-129
79,2025,Juneau,Medeia,6,M,Sublegal,111,125,22,22,22,21,22,23,,AGR,SYW,"AGR, SM, TJ",120-129
652,2025,St James Bay,Medeia,16,M,Sublegal,105,125,20,22,22,19,22,22,"R1, L1 REGENERATED",Y,,,120-129
182,2017,St James Bay,Medeia,,M,Sublegal,104,126,23,24,22,23,24,22,,,,,120-129
20,2025,Juneau,Medeia,3,M,Sublegal,107,126,21,22,20,22,21,20,,AGR,SYW,"AGR, SM, TJ",120-129
76,2025,Juneau,Medeia,6,M,Sublegal,104,126,20,21,21,20,20,21,,AGR,SYW,"AGR, SM, TJ",120-129
97,2025,Juneau,Medeia,7,M,Sublegal,108,126,21,21,21,21,21,22,,AGR,SYW,"AGR, SM, TJ",120-129
